category,text,label
electronics,worst media ever,negative
electronics,not for a serious audiophile setup,negative
electronics,disappointed with dph-50u,negative
electronics,unacceptable. this is worse than beta.,negative
electronics,scroll wheel just stops working!!!,negative
electronics,bad - bad - bad,negative
electronics,description and picture are very misleading.,negative
electronics,very bad product,negative
electronics,don't buy this junk. plenty of other good adapters why risk buying this,negative
electronics,terrible connections,negative
electronics,amazing furreal!,negative
electronics,not so good.,negative
electronics,cheap junk,negative
electronics,indoor tv antenna,negative
electronics,does not work in presentation view.,negative
electronics,confusing description of item,negative
electronics,review of zenith zhdtv1-hdtv-uhf digital indoor antenna,negative
electronics,dead unit,negative
electronics,at&t 210,negative
electronics,terrible useless and unecessarily complicated.,negative
electronics,they don't stay on/in your ears,negative
electronics,no need of ear hanger,negative
electronics,adhesive problems,negative
electronics,right click is tricky,negative
electronics,it arrived doa,negative
electronics,pure junk!,negative
electronics,difficult to install and unreliable,negative
electronics,needs help,negative
electronics,not ready for primetime...,negative
electronics,total crap. sound quality is awful.,negative
electronics,sub woofer problems,negative
electronics,fancy features but bottom line...poor performance,negative
electronics,too loud,negative
electronics,terrible and disappointing product,negative
electronics,worst phones i have ever used,negative
electronics,poor battery life,negative
electronics,pathetic sound.,negative
electronics,zero stars,negative
electronics,so quiet it didn't work at all,negative
electronics,the worst unit i have ever used,negative
electronics,lackluster product at best,negative
electronics,good device worst service and software imaginable,negative
electronics,great product - horrible durability,negative
electronics,software defeats purpose of flash drives.,negative
electronics,how to remove the u3 launch pad,negative
electronics,i hate this drive,negative
electronics,if the case doesn't fit you must acquit,negative
electronics,a bad choice for 16x writing,negative
electronics,an expensive piece of garbage,negative
electronics,one year later the card no longer works,negative
electronics,the biggest mistake i 've made!!,negative
electronics,better late than never ...,negative
electronics,late review but in full agreement,negative
electronics,i am unable to verify its ultra high performance,negative
electronics,disappointed and feeling ripped off,negative
electronics,worst customer service ever,negative
electronics,not sold by amazon - beware of electrogalaxy,negative
electronics,keys rearranged,negative
electronics,the most difficult thing in the world to configure,negative
electronics,not even worth a star,negative
electronics,not compatible with multifunction printers,negative
electronics,jamming piece o' junk!,negative
electronics,awful. just awful.,negative
electronics,returned item wasn't blue tooth,negative
electronics,very disappointing,negative
electronics,caller id stopped working on day 3,negative
electronics,do not buy a nwb phone,negative
electronics,these transfers blow!,negative
electronics,so so product with tons of potential. but breaks.,negative
electronics,piss poor vcr,negative
electronics,buyer beware!,negative
electronics,spoilt adapter,negative
electronics,software and installation issues buyer beware,negative
electronics,software issues,negative
electronics,good looks mediocre performance,negative
electronics,break easily - even when you take care of them.,negative
electronics,really bad,negative
electronics,not for laptop users,negative
electronics,inadequate for voice recognition,negative
electronics,died after two days of use,negative
electronics,lousy drivers lousy customer support (but nice hardware),negative
electronics,router card,negative
electronics,absolute junk!,negative
electronics,totally worthless,negative
electronics,there's this cool new technology...,negative
electronics,does not encrypt fingerprint!,negative
electronics,image nice it works when it does hard to manage,negative
electronics,great idea but big issues...,negative
electronics,does not work with a nikon coolpix 4300,negative
electronics,very large size for travel and mediocre sound,negative
electronics,don't waste your money,negative
electronics,"worked well for a while it was always ""krinklely"" and then the sound went really low.",negative
electronics,frustrating to use,negative
electronics,bad quality donot buy pny sd card,negative
electronics,worst customer support i have ever seen,negative
electronics,my experience with this item,negative
electronics,1gb compact flash card,negative
electronics,on hold 50 minutes 52 seconds,negative
electronics,it works but it is super slow!,negative
electronics,slow affects entire system,negative
electronics,keyboard dead in less than 6 months,negative
electronics,extremely laggy mouse,negative
electronics,don't waste your money on this overpriced ripoff,negative
electronics,two big problems,negative
electronics,beware if there are few unused frequencies in your area,negative
electronics,terribly weak transmitter,negative
electronics,device is barely acceptable,negative
electronics,new = worthless thieves!,negative
electronics,4 years of svc...... several months of headaches,negative
electronics,could be better,negative
electronics,earplugs fall out,negative
electronics,this is ridiculous,negative
electronics,say what?,negative
electronics,you need a really small head...,negative
electronics,great hardware and interface spoiled by poor map data,negative
electronics,it doesn't work well,negative
electronics,don't waste your time on this paperweight,negative
electronics,thrown together phone,negative
electronics,regional coding,negative
electronics,missing ear plugs and travel kit,negative
electronics,tinny indeed,negative
electronics,very unhappy with this product,negative
electronics,horrible painful product,negative
electronics,short battery life,negative
electronics,static static static,negative
electronics,not the greatest caller id unit,negative
electronics,third times a charm? no not really.,negative
electronics,avoid this company!,negative
electronics,defective product mediocre service,negative
electronics,not a universal mount!,negative
electronics,powerline ethernet works great wireless no so,negative
electronics,have an ibook? don't buy this lock!,negative
electronics,great mechanics but the coffee taste is lost...really lost.,negative
electronics,poor fit poor quality sound decent mic,negative
electronics,not for people with small heads...,negative
electronics,the mic is not good. the design is not very comfortable,negative
electronics,cool toy but not a useful tool,negative
electronics,great when it works - but far too flaky,negative
electronics,the disappearing mp3 player,negative
electronics,should have check first,negative
electronics,not bose quality,negative
electronics,doesn't play.....,negative
electronics,acer 1916ab,negative
electronics,keyboard layout sucks; mouse only 2 buttons + wheel,negative
electronics,i wouldnt recommend this unit,negative
electronics,this item is horrible,negative
electronics,item didn't work,negative
electronics,costly to run.,negative
electronics,you get what you pay for...,negative
electronics,threw it out.,negative
electronics,doesn't work with my pc,negative
electronics,if you have sp2 this is not for you,negative
electronics,has yet to work,negative
electronics,some of them doesnt work. cheap quality cdrs,negative
electronics,bad product from kb electronics,negative
electronics,great until it broke,negative
electronics,ever wished you hadn't spent your money...,negative
electronics,not as fast as they claim,negative
electronics,very poor!,negative
electronics,product missing user's guide,negative
electronics,not happy,negative
electronics,horrible horrible horrible,negative
electronics,i hate it!,negative
electronics,the clip is better,negative
electronics,destined for the back of a drawer,negative
electronics,very poor quality,negative
electronics,buzz in microphone,negative
electronics,sound quality ok but,negative
electronics,didn't last long,negative
electronics,can't connect at 108mbs max is 54mbps,negative
electronics,i hope sony will go back to the old (srf-h3) design,negative
electronics,greatly disappointing,negative
electronics,used previous natural keyboard...,negative
electronics,good b/w print/scans poor software and color scans,negative
electronics,quit working after printing three pages successfully,negative
electronics,not for mac user,negative
electronics,important read this reveiw!!!,negative
electronics,dead in 4 months!!!,negative
electronics,terrible - i am returning it,negative
electronics,not so good,negative
electronics,the latest version fails to meet expectations,negative
electronics,nifty device but display tough to read in daylight,negative
electronics,this is a pile of junk.,negative
electronics,not impressed,negative
electronics,pay a little more and get something better,negative
electronics,who really knows until it's too late...,negative
electronics,quality control problems,negative
electronics,wait....better deal,negative
electronics,ipod - great toy - horrible customer service/support,negative
electronics,if you need this in a hurry don't buy from amazon!,negative
electronics,microphone volume too low and can't be set,negative
electronics,its just a standard component cable..,negative
electronics,lcd display broke after 2 months,negative
electronics,poor support,negative
electronics,defective bluetooth,negative
electronics,did i get a bad sample? totally disappointed!,negative
electronics,a disgrace to sony here's why in point form,negative
electronics,will not charge micro zen,negative
electronics,another sad confirmation..no go for shuffle,negative
electronics,nice idea but...,negative
electronics,decent but there has to be a better solution somewhere out there!,negative
electronics,100 uses for a dead mouse,negative
electronics,tell apple to go #$&% themselves,negative
electronics,less expensive policy available for 29.95 from crutchfield.com,negative
electronics,model # 53725,negative
electronics,just average,negative
electronics,failure to please,negative
electronics,track problems - buy the cyber home,negative
electronics,not what i thought i was purchasing,negative
electronics,antenna fell off several times,negative
electronics,multiple problems,negative
electronics,these tapes didn't worked for me and ruin my camera,negative
electronics,low cost equals low quality,negative
electronics,cheap & buggy,negative
electronics,look for something else,negative
electronics,junk at the best!,negative
electronics,pos zen micro creative support now sucks,negative
electronics,completely useless for me,negative
electronics,warning about the ipod,negative
electronics,waste of money!!,negative
electronics,do your research,negative
electronics,these are horrible.....,negative
electronics,was not recognizeable,negative
electronics,one-third the features for three-quarters of the price,negative
electronics,just did not work!,negative
electronics,bad luck or low quality product??,negative
electronics,wish i had done more research,negative
electronics,images heavily out of focus despite adjustment - returning,negative
electronics,too many problems,negative
electronics,long cord didn't work,negative
electronics,tdk branded not made by tdk,negative
electronics,terrible network card,negative
electronics,ahhh! its horrible!,negative
electronics,product application,negative
electronics,mac users,negative
electronics,not very dependable,negative
electronics,item not delivered in reasonable time frame,negative
electronics,not so great as they say.just ok,negative
electronics,so not available in 2-3 weeks,negative
electronics,horribly noisy,negative
electronics,cheap as in quality not price,negative
electronics,low quality,negative
electronics,did not work-avoid this product,negative
electronics,do not do business with bargaincell!,negative
electronics,short lived performance,negative
electronics,its a piece of junk,negative
electronics,"poor quality and ""zero customer service""",negative
electronics,be an educated consumer! you don't have to spend a lot for *digital* cables,negative
electronics,great product terrible cost.,negative
electronics,dumb dumb dumb,negative
electronics,think before you buy,negative
electronics,love the concept hate the product!,negative
electronics,listen to the rest of us,negative
electronics,phantom paper jam can cost extra,negative
electronics,file 13,negative
electronics,who knows how to solve the c,negative
electronics,be careful of this one,negative
electronics,never work properly,negative
electronics,a lame duck card,negative
electronics,two units both failed,negative
electronics,look like multiple functional but not working,negative
electronics,don't buy!!!!!!!!!!,negative
electronics,didn't know you can sell trash over amazon.,negative
electronics,horrible feedback,negative
electronics,great features great price horrible speakerphone,negative
electronics,don't buy it for c340,negative
electronics,do not wast your time with this product...period,negative
electronics,seriously annoyed,negative
electronics,i'm shocked amazon cancelling orders withouth any notification.,negative
electronics,what a joke,negative
electronics,no customer support,negative
electronics,not palm compatible,negative
electronics,technical details misleading,negative
electronics,watch out for shipping,negative
electronics,love it but it keeps breaking,negative
electronics,problems at radom,negative
electronics,earbuds fall out if you move,negative
electronics,wires too long connector sleeve disconnected,negative
electronics,massive problems with sony ce595,negative
electronics,at this price point i think the many other mice feel more solid than this logitech mouse.,negative
electronics,do not buy this adaptor!,negative
electronics,it's a 4-star product,negative
electronics,warranty problem,negative
electronics,bad customer service........,negative
electronics,do you feel lucky?,negative
electronics,junk! stay away,negative
electronics,if you like headaches and hassles buy this router,negative
electronics,not a reliable router do not upgrade firmware!,negative
electronics,i bought 2 pairs of this radio,negative
electronics,not happy with what i got,negative
electronics,kds not interested in long-term customers,negative
electronics,kds cdo not ready for prime time,negative
electronics,won't return money,negative
electronics,below average sound using fm wireless signal; also cancelling service is a joke,negative
electronics,i've just replaced my set of these,negative
electronics,great for a few months then won't hold charge,negative
electronics,junk nimh batteries,negative
electronics,good sound when they stay on my ears.,negative
electronics,one word - lousy,negative
electronics,hp 96 ink cartridge,negative
electronics,make sure you keep your old mouse and keyboard,negative
electronics,extremely uncomfortable but good sounds,negative
electronics,good sound terribly uncomfortable,negative
electronics,why the zboard isn't worth it,negative
electronics,firmware buggy,negative
electronics,please don't bother!,negative
electronics,what if you want to use it outside of your car?,negative
electronics,looks good....... but,negative
electronics,pay attention to technology,negative
electronics,"does not support 19"" or larger crts",negative
electronics,so bad screen,negative
electronics,amazon lies,negative
electronics,be wary.,negative
electronics,will do...,negative
electronics,little to offer over the gps 12,negative
electronics,was nice until it broke,negative
electronics,great cables until one of the colors goes out!,negative
electronics,great looking maps can't find its way out of a paper bag.,negative
electronics,how to get lost! over..,negative
electronics,three units in three weeks!,negative
electronics,so many problems!,negative
electronics,completely unreliable,negative
electronics,great picture -- when signal doesn't drop,negative
electronics,does not work bad service,negative
electronics,good drive when it works but warranty support is awful.,negative
electronics,no way!,negative
electronics,not compatible with windows 2000/xp horrible tech support - avoid!!,negative
electronics,no way,negative
electronics,nice features but can't compete with cox dvr,negative
electronics,junk sorry panasonic,negative
electronics,fm remote users beware,negative
electronics,portable tv,negative
electronics,fuzzy sound and worst customer service ever!!!!!!!,negative
electronics,combination mysteriously changed,negative
electronics,low quality networking solution for low budget.,negative
electronics,good in theory... major issues in practice,negative
electronics,don't buy a linksys router if you have a mac computer,negative
electronics,frustrating item,negative
electronics,unbelievable piece of junk without real support,negative
electronics,both klipsch subwoofers died,negative
electronics,sound great.... but stop working!,negative
electronics,good idea but not ready yet doesn't work unreliable,negative
electronics,don't stomp your feet sneeze or slam the door.,negative
electronics,poor reception - very static,negative
electronics,very misleading,negative
electronics,easily scratched w/very limited lifespan,negative
electronics,more monster snake oil...,negative
electronics,do not buy this card if you use windows 98se,negative
electronics,worked for seven minutes then quit,negative
electronics,weak sound unless you have a headphone amp,negative
electronics,unreliable...don't get lulled w/false sense of security,negative
electronics,worked for 30 days - microphone broke,negative
electronics,gs not as good as the original,negative
electronics,so-so at best.,negative
electronics,it gets ugly fast,negative
electronics,can't get it to work.,negative
electronics,wireless printing problems,negative
electronics,garbage!- it does not work with most usb printers,negative
electronics,whoa!!! apples and oranges,negative
electronics,good printer but drops the internet connection,negative
electronics,this is a piece of [...],negative
electronics,it is piece of junk!!!!!!!!,negative
electronics,love it.. hate it,negative
electronics,setup difficult,negative
electronics,buyer beware - amazon selling old version 2,negative
electronics,total garbage.,negative
electronics,lost power less than a year,negative
electronics,would not buy,negative
electronics,this was a mistake.,negative
electronics,?hello ?hello,negative
electronics,scroll pad doesn't work,negative
electronics,good but problems...,negative
electronics,pricey for the length,negative
electronics,too small,negative
electronics,been using it one week - dead!,negative
electronics,awesome when it worked,negative
electronics,there are better wrist pads on the market,negative
electronics,unreliable w/high-cost of ownership in heavy-duty environmnt,negative
electronics,one page at a time works great,negative
electronics,does not work with 6682,negative
electronics,have yet to get it to work,negative
electronics,horrible dvd+r!,negative
electronics,okay at first.....,negative
electronics,be aware before you buy this!,negative
electronics,clunker -- poorly made didn't work,negative
electronics,doesn't seem to work properly.,negative
electronics,does not work properly,negative
electronics,don't buy this printer!,negative
electronics,they fit pretty well but sound quality suffers,negative
electronics,not for programmers!,negative
electronics,too lightweight no reset pin,negative
electronics,hate it!,negative
electronics,worked at first but....,negative
electronics,do not buy this radio!,negative
electronics,not very happy,negative
electronics,not worth buying,negative
electronics,didn't work properly,negative
electronics,good - and then bad.,negative
electronics,doesn't work,negative
electronics,dead after 2 minutes,negative
electronics,does not play dvd's from other regions,negative
electronics,good player but very poor construction,negative
electronics,great features but huge flaws,negative
electronics,absolute garbage,negative
electronics,never trust this product.,negative
electronics,lock changes combination by itself - do not buy,negative
electronics,once it's on it may never come off.,negative
electronics,poor fm stereo,negative
electronics,an inadequate receiver,negative
electronics,horrible crackling noise,negative
electronics,panasonic - terrible customer service,negative
electronics,broken latch poor hinge design,negative
electronics,the little plastic catch broke in less than a month,negative
electronics,not so hot,negative
electronics,great idea - bad design,negative
electronics,not for me (or gamers),negative
electronics,bad sounding headphones!,negative
electronics,this product ruined our car battery and 2 ipods,negative
electronics,labels not for seiko printer.,negative
electronics,waste of money -,negative
electronics,don't work,negative
electronics,sony walkman radio,negative
electronics,sent it right back,negative
electronics,not to spec,negative
electronics,waste of money!,negative
electronics,two strikes i'm out!,negative
electronics,ok but not perfect!,negative
electronics,garmin support for gps 60,negative
electronics,awful camera,negative
electronics,piece 'o' crap!!!!!,negative
electronics,spacebar sticks,negative
electronics,good sound not so good quality,negative
electronics,adequate for simple recording only,negative
electronics,was unable to use,negative
electronics,poor design award winner,negative
electronics,keep looking,negative
electronics,for small size buy in the ear canal type earphone,negative
electronics,don't buy this product,negative
electronics,eight what&gt;,negative
electronics,if you are going to use coaxial cable protection don't buy this one,negative
electronics,pretty dissappointing,negative
electronics,fm transmitter,negative
electronics,worked for about 1 month then nothing but trouble since.,negative
electronics,way to expensive.,negative
electronics,"the ""grip"" behind the connector is too fat",negative
electronics,do the research yourself,negative
electronics,broke after a year.......,negative
electronics,two down.... one to go- in the garbage!!!!!,negative
electronics,great but tweaks os,negative
electronics,very handy,negative
electronics,the slide lock key is too weak,negative
electronics,do not buy,negative
electronics,buy a pocket pc smartphone instead,negative
electronics,problems and more problems with this telephone,negative
electronics,mouse? what mouse,negative
electronics,great prints - poor reliability,negative
electronics,strong +'s injured by not-infrequent paper jams,negative
electronics,piece of junk,negative
electronics,don't buy this machine - it's a dud,negative
electronics,wireless modem jack,negative
electronics,grainy quality very slow drying time.,negative
electronics,smells terrible!,negative
electronics,warning! not for ipod mini!,negative
electronics,agree... speed stinks!,negative
electronics,but the big flaw is low throughput,negative
electronics,lousy phone,negative
electronics,such a disappointment,negative
electronics,looks cool at first but...,negative
electronics,close the patent office,negative
electronics,bothersome @ times.,negative
electronics,less than impressed,negative
electronics,great technology terrible customer experience,negative
electronics,noise canceling decent; music sound bad,negative
electronics,noise-cancelling newbie...,negative
electronics,poor image quality,negative
electronics,looks good but not best performance,negative
electronics,i can't hear you!,negative
electronics,junk junk junk!,negative
electronics,great form but does not work with my optical mouse,negative
electronics,the strap sucks and the bag is really heavy,negative
electronics,laptop must draw current before other device charges,negative
electronics,i hate it,negative
electronics,worked great for a while,negative
electronics,can't find the timer for the radio,negative
electronics,do not buy!!!,negative
electronics,does not work with my creative zen,negative
electronics,does not work with creative labs zen micro photo,negative
electronics,confirmation - it does not charge an ipod shuffle,negative
electronics,buy the cheap ones!,negative
electronics,lacie drive quit working,negative
electronics,poor poor poor,negative
electronics,file error,negative
electronics,screwed by antonline,negative
electronics,not worth the hassle.,negative
electronics,not as represented,negative
electronics,hp5510 scan button,negative
electronics,was ok for 6 months,negative
electronics,just stops working!,negative
electronics,has it's problems,negative
electronics,what a pain in the butt,negative
electronics,not compatible with 2nd generation nano's,negative
electronics,non compatable,negative
electronics,not a good transmitter for big city,negative
electronics,inferior quality product,negative
electronics,sent back - do not purchase in denver area,negative
electronics,need a bit more longevity,negative
electronics,limited reliability not so much fun,negative
electronics,the little vacuum that can't,negative
electronics,metropolitan vacuum(r) datavac(r) 3-in-1 cordless computer vacuum,negative
electronics,bad headphones,negative
electronics,beware...things are usually cheap for a reason...,negative
electronics,cord is so short uncomfotable to try and use.,negative
electronics,broke in less than 30 days!,negative
electronics,insufficient sensitivity,negative
electronics,dont waste your money,negative
electronics,can't figure out how it will hold the ipaq.,negative
electronics,horrible software!,negative
electronics,a disappointment,negative
electronics,poor performance no warranty,negative
electronics,undependable noisy drive poor support,negative
electronics,stay away,negative
electronics,dies after a year,negative
electronics,would be great if it worked...,negative
electronics,this item is prone to breaking...,negative
electronics,not worth the hassle,negative
electronics,works well in a single room,negative
electronics,stops working after 6 months,negative
electronics,on time and on the money!,negative
electronics,exchanged them for motorola sx700,negative
electronics,love the features hate the range and usage!,negative
electronics,these disks really do stink!!!!!,negative
electronics,pouch case for magellan,negative
electronics,just flat doesn't work!,negative
electronics,lasted 4 months,negative
electronics,like a porsche... without wheels!,negative
electronics,died after a few weeks,negative
electronics,velocity bait and switch,negative
electronics,three in a row made as data dvd,negative
electronics,hunk of junk,negative
electronics,sound was really bad,negative
electronics,what a piece of poo!,negative
electronics,false advertising,negative
electronics,brother ml-300 not worth considering,negative
electronics,not the right fit,negative
electronics,this apple product is rotten to the core!,negative
electronics,won't connect over wpa,negative
electronics,stay away from this!,negative
electronics,keyboard has splotchy finish and not durable,negative
electronics,1 step forward 50 steps back. just horrible.,negative
electronics,very disappointing!,negative
electronics,disappointed is all i can say...,negative
electronics,logitech quickcam ultra vision,negative
electronics,monster cable rcas for ipod,negative
electronics,excellent sound painful electric shocks,negative
electronics,this does not fit the ipaq hx2755,negative
electronics,do not buy this product,negative
electronics,not as advertised,negative
electronics,the first one came broken,negative
electronics,terrible purchase,negative
electronics,ambicom wl1100c-cf compactflash 11mbps adapter,negative
electronics,magellan externa antenna - bad,negative
electronics,at-65 substitution,negative
electronics,another at-65 substitution,negative
electronics,midland gtx600vp4 radios bogus - midland bogus,negative
electronics,you get what you pay for,negative
electronics,eton red cross emergency radio,negative
electronics,poor design for an emergency necessity,negative
electronics,returned two,negative
electronics,don't bother,negative
electronics,beware- shipping charges sky high,negative
electronics,hope you went to college,negative
electronics,impossibly difficult to use,negative
electronics,nice but no control,negative
electronics,don't waste your precious money,negative
electronics,one star too many! horrible!!!!,negative
electronics,no service really,negative
electronics,what a pain!,negative
electronics,perhaps you might be using home,negative
